Galaxy name	RAJ2000 (deg)	DEJ2000 (deg)	D25 semi-major axis (arcmin)	D25 semi-minor axis (arcmin)	D25 positional angle, North-to-Northeast (deg)	Inclination angle (deg)	Luminosity distance (Mpc)	logSFR_HEC	logM_HEC	mean_exposure_Hr
UGC00092	2.508291	28.210111	0.481	0.352	79.8	44.87	15.2055	-1.228	9.2305	17.61
UGC00313	7.858833	6.20675	0.601	0.354	14.9	55.93	15.2757	-1.316	9.0369	16.38
NGC0145	7.940624	-5.152708	0.881	0.714	116.3	40.09	14.9968	-0.44	9.4395	17.62
NGC0278	13.017917	47.550528	1.178	1.178	0.0	12.76	11.8577	0.238	10.2508	18.15
NGC0337	14.958512	-7.578018	1.459	1.459	0.0	50.6	19.0631	0.268	10.118	10.79
PGC003853	16.270312	-6.212375	2.118	1.567	56.7	42.98	11.521	-1.169	9.6569	12.53
NGC0428	18.232224	0.981531	1.409	1.04	114.3	47.89	12.3548	-0.734	9.6605	14.29
UGC01104	23.177208	18.317083	0.592	0.371	0.5	59.0	11.273	-2.043	8.6113	19.37
UGC01198	27.323292	85.260194	0.449	0.364	70.0	53.34	19.9526	-0.363	9.458	231.04
IC0167	27.785625	21.912806	0.802	0.468	107.4	56.0	20.7054	-0.739	9.1784	18.05
NGC0864	33.864879	6.002224	1.862	1.285	21.5	47.58	16.389	-0.149	10.2487	15.48
IC0225	36.617832	1.160516	0.505	0.448	157.8	38.53	20.893	-0.912	9.0816	17.92
NGC0963	37.630365	-4.215489	0.398	0.398	0.0	10.37	19.9343	-1.163	9.3056	14.33
NGC1042	40.099913	-8.433591	1.945	1.069	5.5	58.13	9.256	-0.876	9.6547	18.15
NGC1036	40.120855	19.297017	0.701	0.516	3.3	45.39	12.3514	-0.919	9.149	16.01
NGC1068	40.669729	-0.013278	3.055	2.553	72.7	34.7	10.4135	1.253	10.9508	18.3
NGC1084	41.499655	-7.578582	1.698	1.127	39.9	49.9	19.9095	0.803	10.6569	12.73
NGC1087	41.604876	-0.498664	1.486	0.902	8.9	54.13	14.2885	0.19	10.064	15.96
PGC010768	42.582251	19.112028	0.236	0.201	150.0	35.28	11.3763	-1.943	8.4176	17.94
