"Galaxy name" "RAJ2000 (deg)" "DEJ2000 (deg)" "D25 semi-major axis (arcmin)" "D25 semi-minor axis (arcmin)" "D25 positional angle, North-to-Northeast (deg)" "Inclination angle (deg)" "Luminosity distance (Mpc)" logSFR_HEC logM_HEC mean_exposure_Hr
UGC00092 2.508291 28.210111 0.481 0.352 79.8 44.87 15.2055 -1.228 9.2305 17.61
UGC00132 3.503208 12.963861 0.661 0.215 15.8 90.0 20.4322 -1.696 8.7558 5.29
NGC0100 6.012109 16.486812 1.774 0.244 55.5 90.0 18.5017 -1.275 9.5165 18.29
UGC00313 7.858833 6.20675 0.601 0.354 14.9 55.93 15.2757 -1.316 9.0369 16.38
NGC0145 7.940624 -5.152708 0.881 0.714 116.3 40.09 14.9968 -0.44 9.4395 17.62
NGC0157 8.694936 -8.396496 1.849 0.951 34.5 61.75 15.5467 0.447 10.5417 16.28
NGC0278 13.017917 47.550528 1.178 1.178 0.0 12.76 11.8577 0.238 10.2508 18.15
NGC0337 14.958512 -7.578018 1.459 1.459 0.0 50.6 19.0631 0.268 10.118 10.79
PGC003853 16.270312 -6.212375 2.118 1.567 56.7 42.98 11.521 -1.169 9.6569 12.53
NGC0428 18.232224 0.981531 1.409 1.04 114.3 47.89 12.3548 -0.734 9.6605 14.29
UGC01038 21.947083 43.251861 0.195 0.091 17.0 76.5 20.1324 -2.262 8.1556 10.97
UGC01104 23.177208 18.317083 0.592 0.371 0.5 59.0 11.273 -2.043 8.6113 19.37
PGC006228 25.279625 -5.568111 0.953 0.361 77.4 90.0 19.437 -1.194 9.3984 15.29
NGC0660 25.759989 13.645228 2.285 0.843 12.9 78.77 13.7833 0.788 10.5751 18.86
IC1727 26.874554 27.333006 3.258 1.222 150.3 90.0 7.3866 -1.682 8.8505 16.42
NGC0672 26.97477 27.431978 3.507 1.355 68.6 69.64 7.4242 -0.933 9.5669 15.73
UGC01198 27.323292 85.260194 0.449 0.364 70.0 53.34 19.9526 -0.363 9.458 231.04
NGC0693 27.628612 6.145155 1.054 0.544 106.0 66.69 18.9563 0.041 10.0951 18.69
IC0167 27.785625 21.912806 0.802 0.468 107.4 56.0 20.7054 -0.739 9.1784 18.05
NGC0755 29.094442 -9.061352 1.435 0.449 52.4 78.06 19.6831 -0.456 9.7478 14.36
NGC0779 29.927647 -5.964168 0.674 0.284 160.5 69.8 19.5725 -0.365 10.5881 9.58
NGC0855 33.514987 27.876901 1.469 0.541 67.0 90.0 9.0276 -1.215 9.2092 15.98
NGC0864 33.864879 6.002224 1.862 1.285 21.5 47.58 16.389 -0.149 10.2487 15.48
IC0225 36.617832 1.160516 0.505 0.448 157.8 38.53 20.893 -0.912 9.0816 17.92
NGC0963 37.630365 -4.215489 0.398 0.398 0.0 10.37 19.9343 -1.163 9.3056 14.33
NGC0949 37.702931 37.136594 1.552 0.674 144.4 68.3 10.288 -0.721 9.5911 23.18
NGC0959 38.099633 35.494624 0.935 0.556 66.8 62.28 10.9834 -1.073 9.4675 22.11
NGC0988 38.865498 -9.35595 2.163 0.855 119.6 69.06 15.7119 -0.303 10.8232 17.74
NGC1012 39.812334 30.151667 1.052 0.526 23.5 67.99 16.2395 -0.238 9.9156 10.8
NGC1042 40.099913 -8.433591 1.945 1.069 5.5 58.13 9.256 -0.876 9.6547 18.15
NGC1036 40.120855 19.297017 0.701 0.516 3.3 45.39 12.3514 -0.919 9.149 16.01
NGC1052 40.269844 -8.255811 1.472 1.042 112.7 70.11 19.1995 -0.454 10.817 9.01
NGC1055 40.438378 0.443422 3.459 1.766 103.9 62.73 18.8551 0.791 10.9212 14.96
UGC02172 40.545125 43.355083 0.782 0.471 40.9 61.41 9.2897 -1.883 8.2188 23.68
NGC1068 40.669729 -0.013278 3.055 2.553 72.7 34.7 10.4135 1.253 10.9508 18.3
NGC1084 41.499655 -7.578582 1.698 1.127 39.9 49.9 19.9095 0.803 10.6569 12.73
NGC1087 41.604876 -0.498664 1.486 0.902 8.9 54.13 14.2885 0.19 10.064 15.96
PGC010768 42.582251 19.112028 0.236 0.201 150.0 35.28 11.3763 -1.943 8.4176 17.94
NGC1159 45.193833 43.162528 0.238 0.201 115.0 33.16 19.3197 -0.464 9.2831 12.93
PGC012188 49.259501 3.649444 0.356 0.206 175.0 "" 12.4531 -1.075 9.0511 3.95
UGC02689 50.3655 40.801639 0.555 0.421 126.8 47.74 4.8438 -2.342 8.4732 17.41
PGC012793 51.324542 41.902556 0.262 0.138 174.5 59.9 1.943 -3.634 7.0877 24.0
NGC1337 52.024791 -8.388417 2.483 0.656 150.4 78.6 13.9613 -0.94 9.8334 17.3
UGC02773 53.03033 47.794058 0.537 0.422 130.5 42.98 4.4055 -1.499 8.6124 21.74
IC0356 61.945416 69.812417 2.009 2.009 0.0 22.4 20.4431 0.479 11.4363 49.71
NGC1637 70.367458 -2.857917 1.588 1.371 20.6 31.1 12.3695 -0.1 10.2259 11.84
UGC03257 80.435583 84.482278 0.668 0.301 156.8 70.82 15.6655 -1.028 9.3047 168.01
UGC03343 86.352626 72.356222 0.959 0.322 79.5 76.08 13.5622 -0.951 9.3747 58.02
PGC017738 86.3955 73.609028 0.405 0.196 50.0 90.0 19.2536 -0.935 9.2906 59.59
PGC018096 88.927484 3.391717 0.563 0.248 165.0 "" 10.3276 -0.442 8.3208 16.15
PGC018855 95.232159 -8.495589 1.315 0.503 85.7 69.96 11.3875 0.12 10.0184 18.36
NGC2146A 95.980029 78.530014 1.358 0.548 31.8 68.96 20.3347 -0.704 9.6765 88.12
UGC03574 103.293541 57.17775 0.74 0.74 0.0 21.85 19.5914 -0.806 9.5957 31.85
NGC2366 112.225277 69.214964 2.183 0.719 30.5 90.0 3.278 -1.712 8.014 42.64
PGC021812 116.882615 51.191614 0.427 0.209 124.2 73.53 8.4534 -2.155 7.9629 20.21
PGC021882 117.290685 55.60462 0.333 0.119 84.3 71.71 20.1181 -0.741 9.3172 32.55
UGC04238 122.903126 76.421722 0.869 0.354 80.5 67.82 17.4416 -1.049 9.3116 66.02
